Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Keith Acton,1994,1994,1,6,0,0,0,-4,21,0,0,0,0,0,0,0,2,0,,
2,Greg Adams,1984,1988,5,330,55,98,153,37,694,47,8,0,3,77,21,0,450,12.2,,
3,Jason Allison,1994,1997,4,86,7,22,29,-8,33,4,3,0,1,15,7,0,103,6.8,,
4,Karl Alzner,2009,2017,9,591,19,98,117,61,177,19,0,0,2,94,2,2,529,3.6,11939,20:12
5,Murray Anderson,1975,1975,1,40,0,1,1,-40,68,0,0,0,0,1,0,0,23,0,,
6,Ron Anderson,1975,1975,1,28,9,7,16,-20,8,5,4,0,0,7,0,0,43,20.9,,
7,Shawn Anderson,1993,1994,2,110,2,15,17,-3,30,1,1,0,0,12,3,0,73,2.7,,
8,Peter Andersson,1984,1986,3,160,9,33,42,9,77,4,5,0,3,19,14,0,194,4.6,,
9,Mel Angelstad,2004,2004,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,26,13:00
10,Chuck Arnason,1979,1979,1,13,0,2,2,-1,4,0,0,0,0,1,1,0,17,0,,
11,Jason Arnott,2011,2011,1,11,4,3,7,3,8,2,2,0,1,2,1,0,30,13.3,175,15:53
12,Steve Atkinson,1975,1975,1,46,11,4,15,-25,8,6,3,2,0,2,2,0,92,12,,
13,Keith Aucoin,2009,2012,4,49,6,16,22,7,4,5,1,0,1,14,2,0,40,15,513,10:29
14,Patrik Augusta,1999,1999,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27,13:38
15,Bobby Babcock,1991,1993,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,,
16,Nicklas Backstrom,2008,2021,14,971,251,696,947,118,466,172,77,2,38,392,304,0,2066,12.1,19098,19:40
17,Ace Bailey,1975,1978,4,207,43,71,114,-104,162,38,5,0,6,47,21,3,388,11.1,,
18,Riley Barber,2017,2017,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,8:35
19,John Barrett,1986,1987,2,69,2,5,7,-14,55,2,0,0,0,5,0,0,44,4.5,,
20,Bates Battaglia,2004,2004,1,66,4,6,10,-23,38,4,0,0,1,5,1,0,69,5.8,899,13:37
21,Nolan Baumgartner,1996,2000,4,18,0,2,2,-3,2,0,0,0,0,0,2,0,11,0,128,9:49
22,Robin Bawa,1990,1990,1,5,1,0,1,-3,6,1,0,0,0,0,0,0,1,100,,
23,Jay Beagle,2009,2018,10,471,51,65,116,11,159,49,0,2,12,62,0,3,530,9.6,5858,12:26
24,Yves Beaudoin,1986,1988,3,11,0,0,0,-9,5,0,0,0,0,0,0,0,11,0,,
25,Kris Beech,2001,2007,3,73,8,18,26,-13,52,5,3,0,0,10,8,0,83,9.6,875,11:59
26,Eric Belanger,2010,2010,1,17,2,4,6,3,4,2,0,0,0,4,0,0,31,6.5,249,14:40
27,Brian Bellows,1998,1999,2,87,23,22,45,-15,32,10,13,0,5,19,3,0,192,12,1158,15:14
28,Jan Benda,1998,1998,1,9,0,3,3,1,6,0,0,0,0,3,0,0,8,0,,
29,Harvey Bennett,1976,1977,2,67,14,16,30,-34,73,13,1,0,1,16,0,0,94,14.9,,
30,Sergei Berezin,2003,2003,1,9,5,4,9,10,4,5,0,0,2,4,0,0,28,17.9,141,15:41
31,Michel Bergeron,1979,1979,1,30,7,6,13,-18,7,6,1,0,1,6,0,0,53,13.2,,
32,Tim Bergland,1990,1994,4,104,8,18,26,-3,58,8,0,0,0,17,0,1,83,9.6,,
33,Rick Berry,2003,2004,2,108,2,7,9,-8,195,2,0,0,1,7,0,0,83,2.4,1349,12:29
34,Craig Berube,1994,2001,7,419,26,38,64,-32,1220,25,1,0,2,37,1,0,274,9.5,570,6:29
